Episode,Winner,Duration,RemainingHealth
1369,Player2,56865.35,40
1372,Player2,56946.68,60
1373,Player2,56964.02,60
1374,Player2,56997.35,20
1376,Player2,57085.70,20
1378,Player2,57143.36,20
1385,Player2,57302.63,40
1386,Player2,57357.71,40
1388,Player2,57412.34,40
1391,Player2,57452.36,60
1392,Player2,57476.36,40
1393,Player2,57505.70,20
1394,Player2,57560.39,80
1397,Player2,57639.02,60
1403,Player2,57799.73,60
1404,Player2,57836.03,60
1408,Player2,57929.57,20
1409,Player2,57944.36,80
1410,Player2,57975.59,60
1411,Player2,57995.36,60
1413,Player2,58057.01,20
1414,Player2,58090.70,40
1415,Player2,58149.35,20
1418,Player2,58220.69,20
1421,Player2,58272.71,60
1422,Player2,58290.11,80
1429,Player2,58453.34,20
1430,Player2,58482.77,40
1434,Player2,58544.69,80
1435,Player2,58564.73,20
1436,Player2,58602.02,40
1438,Player2,58666.19,60
1439,Player2,58706.87,40
1442,Player2,58793.69,20
1447,Player2,58975.37,60
1449,Player2,59066.57,40
1450,Player2,59090.75,40
1456,Player2,59256.02,20
1458,Player2,59290.70,40
1459,Player2,59304.35,100
1461,Player2,59376.35,20
1462,Player2,59427.16,20
1464,Player2,59490.05,80
1465,Player2,59508.77,60
1466,Player2,59556.71,60
1467,Player2,59578.01,80
1468,Player2,59591.45,40
1471,Player2,59651.39,60
1472,Player2,59690.45,20
1479,Player2,59811.68,60
1480,Player2,59822.39,20
1481,Player2,59836.13,100
1483,Player2,59894.75,60
1490,Player2,60037.88,20
1492,Player2,60060.35,80
1495,Player2,60120.68,80
1501,Player2,60298.34,60
1505,Player2,60392.36,40
1506,Player2,60420.35,60
1508,Player2,60453.68,40
1510,Player2,60513.68,20
1512,Player2,60569.69,60
1514,Player2,60627.07,40
1515,Player2,60643.00,40
1517,Player2,60689.71,40
1519,Player2,60735.25,60
1521,Player2,60787.04,20
1522,Player2,60823.00,60
1523,Player2,60875.05,100
1525,Player2,60939.02,20
1527,Player2,60984.38,40
1529,Player2,61065.02,20
1535,Player2,61236.34,40
1537,Player2,61275.07,20
1538,Player2,61312.70,40
1543,Player2,61410.38,20
1544,Player2,61431.68,40
1545,Player2,61467.73,40
1547,Player2,61510.34,100
1550,Player2,61610.41,20
1551,Player2,61643.68,20
1554,Draw,60.00,40
1557,Player2,61865.68,60
1558,Player2,61916.36,80
1560,Player2,61960.46,60
1573,Player2,62295.68,20
1574,Player2,62334.34,40
1575,Player2,62386.52,60
1577,Player2,60.00,40
1578,Player2,62500.09,20
1580,Player2,62547.34,60
1585,Player2,62713.00,80
1586,Player2,62737.39,20
1587,Player2,62765.48,60
1589,Player2,62853.38,40
1590,Player2,62866.70,20
1591,Player2,62895.34,60
1594,Player2,63026.02,20
1600,Player2,63187.00,20
1601,Player2,63197.68,40
1603,Player2,63252.34,20
1605,Player2,63342.07,40
1606,Player2,63374.41,80
1608,Player2,63415.75,80
1609,Player2,63442.70,80
1617,Player2,63674.68,40
1618,Player2,63701.48,40
1623,Player2,63847.75,40
1624,Player2,63855.68,60
1625,Player2,63889.04,80
1629,Player2,63997.75,20
1631,Player2,64052.36,80
1632,Player2,64072.34,60
1636,Player2,64175.68,20
1638,Player2,64226.54,20
1639,Player2,64250.36,100
1640,Player2,64291.70,20
1641,Player2,64325.02,20
1642,Player2,64339.70,60
1643,Player2,64366.34,40
1646,Player2,64427.68,20
1650,Player2,64522.39,40
1652,Player2,64589.02,20
1653,Player2,64626.34,20
1656,Player2,64694.41,40
1657,Player2,64725.02,40
1666,Player2,64927.27,20
1668,Player2,64966.16,40
1672,Player2,60.00,40
1678,Player2,65290.75,40
1679,Player2,65298.68,40
1681,Player2,65353.34,40
1684,Draw,60.00,20
1686,Player2,65516.68,40
1696,Player2,65756.12,20
1700,Player2,65859.34,20
1704,Player2,65948.69,40
1705,Player2,65991.38,40
1708,Player2,66063.34,80
1712,Player2,66197.02,40
1713,Player2,66229.01,20
1717,Player2,66389.41,20
1721,Player2,66444.02,40
1722,Player2,66480.55,20
1724,Player2,66528.67,20
1726,Player2,66560.69,100
1727,Player2,66583.34,60
1728,Player2,66602.30,20
1730,Draw,60.00,20
1743,Player2,66893.35,20
1745,Player2,66982.76,60
1746,Player2,67002.67,20
1747,Player2,67040.02,20
1751,Player2,67138.76,20
1754,Player2,67229.35,40
1755,Player2,67244.05,60
1756,Player2,67265.35,80
1759,Player2,67312.34,40
1760,Player2,67340.35,40
1761,Player2,67373.77,60
1767,Player2,67547.02,20
1769,Player2,67634.02,20
1770,Player2,67670.41,40
1771,Player2,67698.67,40
1776,Player2,67868.53,20
1778,Player2,67891.01,60
1779,Player2,67916.53,20
1784,Player2,68085.07,20
1787,Player2,68165.05,40
1788,Player2,68190.34,20
1789,Player2,68198.35,40
1792,Player2,68243.71,20
1793,Player2,68282.35,20
1797,Player2,68394.85,40
1802,Player2,68531.35,20
1805,Player2,60.00,40
1806,Player2,68658.34,80
1808,Player2,68705.05,60
1810,Player2,68737.03,20
1811,Player2,68768.35,20
1812,Player2,68783.12,20
1815,Player1,60.00,40
1817,Player2,68908.70,40
1818,Player2,68935.34,40
1822,Player2,69030.07,20
1823,Player2,69051.34,60
1824,Player2,69058.00,20
1825,Player2,69084.67,40
1826,Player2,69099.38,40
1827,Player2,69146.05,40
1830,Player2,69216.67,20
1832,Player2,69255.62,40
1836,Draw,60.00,20
1838,Player2,69408.02,20
1848,Player2,69692.35,20
1850,Player2,69757.70,20
1853,Player2,69825.67,40
1856,Player2,69893.68,20
1857,Player2,69908.35,40
1860,Player2,69956.35,20
1861,Player2,69965.68,60
1862,Player2,69991.00,40
1864,Player2,70070.41,60
1865,Player2,70102.70,80
1866,Player2,70121.35,80
1867,Player2,70159.03,20
1875,Player2,70370.02,40
1880,Player2,70478.05,40
1882,Player2,70557.02,80
1884,Player2,70629.13,40
1885,Player2,70662.38,40
1888,Player2,70754.41,20
1890,Player2,70778.35,100
1891,Player2,70795.70,60
1893,Player2,70853.23,20
1897,Player2,70996.36,60
1899,Player2,71043.02,40
1901,Player2,71077.81,60
1902,Player2,71092.36,80
1905,Player2,71212.75,40
1906,Player2,71218.00,80
1907,Player2,71256.85,40
1908,Player2,71278.09,60
1909,Player2,71299.36,60
1912,Player2,71366.02,20
1913,Player2,71387.71,20
1917,Player2,71525.41,60
1918,Player2,71562.67,20
1922,Player2,71653.36,20
1923,Player2,71677.39,60
1927,Player2,71773.36,60
1931,Player2,71858.95,20
1933,Player2,71916.67,60
1934,Player2,71942.17,80
1935,Player2,71959.36,80
1936,Player2,72004.70,60
1938,Player1,60.00,40
1943,Player2,72174.02,20
1944,Player2,72184.78,60
1945,Player2,72200.80,80
1947,Player2,72252.70,40
1948,Player2,72285.04,60
1951,Player2,72358.73,40
1952,Player2,72376.42,40
1953,Player2,72384.34,100
1954,Player2,72413.80,60
1958,Player2,72537.70,20
1960,Player2,72579.23,20
